Rank,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Long Weekend,Country,Formatted_Date,Month,Year,Runtime,Genre,IMDb_ID,Budget
504162,-0.381,523953,-0.377,20,A Minecraft Movie,FALSE,Slovakia,17-04-2025,April,2025,101,Adventure,tt3566834,409163240
504162,-0.381,523953,-0.377,20,A Minecraft Movie,FALSE,Slovakia,17-04-2025,April,2025,101,Comedy,tt3566834,409163240
814023,-0.227,840624,-0.244,21,A Minecraft Movie,FALSE,Slovakia,10-04-2025,April,2025,101,Action,tt3566834,409163240
814023,-0.227,840624,-0.244,21,A Minecraft Movie,FALSE,Slovakia,10-04-2025,April,2025,101,Adventure,tt3566834,409163240
814023,-0.227,840624,-0.244,21,A Minecraft Movie,FALSE,Slovakia,10-04-2025,April,2025,101,Comedy,tt3566834,409163240
1052996,2.125,1111813,1.885,24,A Minecraft Movie,FALSE,Slovakia,03-04-2025,April,2025,101,Action,tt3566834,409163240
1052996,2.125,1111813,1.885,24,A Minecraft Movie,FALSE,Slovakia,03-04-2025,April,2025,101,Adventure,tt3566834,409163240
1052996,2.125,1111813,1.885,24,A Minecraft Movie,FALSE,Slovakia,03-04-2025,April,2025,101,Comedy,tt3566834,409163240
824083,-0.33,882662,-0.323,39,A Minecraft Movie,FALSE,Romania,11-04-2025,April,2025,101,Action,tt3566834,409163240
824083,-0.33,882662,-0.323,39,A Minecraft Movie,FALSE,Romania,11-04-2025,April,2025,101,Adventure,tt3566834,409163240
824083,-0.33,882662,-0.323,39,A Minecraft Movie,FALSE,Romania,11-04-2025,April,2025,101,Comedy,tt3566834,409163240
1229363,1.189,1304727,0.904,42,A Minecraft Movie,FALSE,Romania,04-04-2025,April,2025,101,Action,tt3566834,409163240
1229363,1.189,1304727,0.904,42,A Minecraft Movie,FALSE,Romania,04-04-2025,April,2025,101,Adventure,tt3566834,409163240
1229363,1.189,1304727,0.904,42,A Minecraft Movie,FALSE,Romania,04-04-2025,April,2025,101,Comedy,tt3566834,409163240
686872,-0.821,697831,-0.821,16,A Minecraft Movie,FALSE,Poland,18-04-2025,April,2025,101,Action,tt3566834,409163240
686872,-0.821,697831,-0.821,16,A Minecraft Movie,FALSE,Poland,18-04-2025,April,2025,101,Adventure,tt3566834,409163240
686872,-0.821,697831,-0.821,16,A Minecraft Movie,FALSE,Poland,18-04-2025,April,2025,101,Comedy,tt3566834,409163240
3837597,-0.403,3892716,-0.408,20,A Minecraft Movie,FALSE,Poland,11-04-2025,April,2025,101,Action,tt3566834,409163240
3837597,-0.403,3892716,-0.408,20,A Minecraft Movie,FALSE,Poland,11-04-2025,April,2025,101,Adventure,tt3566834,409163240
3837597,-0.403,3892716,-0.408,20,A Minecraft Movie,FALSE,Poland,11-04-2025,April,2025,101,Comedy,tt3566834,409163240
6432567,4.82,6580126,4.398,23,A Minecraft Movie,FALSE,Poland,04-04-2025,April,2025,101,Action,tt3566834,409163240
6432567,4.82,6580126,4.398,23,A Minecraft Movie,FALSE,Poland,04-04-2025,April,2025,101,Adventure,tt3566834,409163240
6432567,4.82,6580126,4.398,23,A Minecraft Movie,FALSE,Poland,04-04-2025,April,2025,101,Comedy,tt3566834,409163240
1092682,19.313,1179730,20.932,37,A Minecraft Movie,FALSE,Portugal,17-04-2025,April,2025,101,Action,tt3566834,409163240
1092682,19.313,1179730,20.932,37,A Minecraft Movie,FALSE,Portugal,17-04-2025,April,2025,101,Adventure,tt3566834,409163240
1092682,19.313,1179730,20.932,37,A Minecraft Movie,FALSE,Portugal,17-04-2025,April,2025,101,Comedy,tt3566834,409163240
1291196,1.51,1431013,1.319,42,A Minecraft Movie,FALSE,Portugal,03-04-2025,April,2025,101,Action,tt3566834,409163240
